BestFitness,AvgFitness,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
64,129.9,917,148,3320,6737,5287,6070,3750,4065,3532,6858
64,130.84,917,148,3286,6737,5287,6070,3750,4065,3532,6858
60,160.78,968,44,3304,6677,5237,6092,3773,4102,3489,6800
63,165.48,1016,145,3293,6657,5301,6067,3758,4065,3475,6787
75,152.0,1016,145,3293,6637,5251,6057,3780,4103,3475,6764
80,157.58,1024,100,3326,6643,5317,6095,3802,4126,3495,6931
97,157.4,977,359,3178,6688,5238,6095,3859,4165,3584,6900
97,156.2,854,238,3296,6642,5284,6002,3780,4103,3498,6764
81,157.88,936,135,3178,6688,5284,6095,3790,4081,3509,6908
92,170.32,980,362,3303,6743,5271,6095,3819,4142,3601,6843
90,157.9,996,172,3179,6688,5238,6095,3819,4145,3579,6885
74,143.74,1025,362,3303,6777,5271,6095,3819,4142,3589,6907
72,141.86,894,362,3353,6710,5271,6104,3819,4115,3557,6939
65,157.62,980,271,3303,6697,5263,6095,3819,4145,3559,6909
57,151.24,1007,200,3246,6647,5371,6080,3765,4079,3489,6856
56,149.42,1007,200,3266,6647,5371,6083,3765,4079,3501,6825
57,153.84,937,200,3246,6658,5415,6080,3765,4079,3489,6856
69,161.68,937,200,3246,6658,5415,6080,3765,4079,3438,6950
90,163.06,966,207,3311,6726,5315,6095,3807,4203,3589,6851
66,164.82,997,176,3257,6705,5201,6095,3786,4119,3496,6834
82,167.36,974,399,3295,6765,5383,6097,3754,4211,3550,6912
102,182.2,871,238,3305,6628,5396,6043,3782,4146,3540,6912
96,184.82,903,217,3310,6628,5422,6086,3734,4062,3468,6814
87,192.56,992,420,3330,6724,5230,6043,3836,4146,3596,6873
71,166.54,939,172,3305,6672,5421,6070,3853,4151,3545,6889
102,164.74,997,450,3320,6621,5240,6117,3853,4146,3582,6883
108,187.34,988,452,3279,6673,5192,6043,3866,4146,3573,6863
87,193.06,977,401,3320,6691,5247,6122,3829,4166,3520,6857
81,191.96,926,452,3279,6660,5192,6082,3803,4158,3576,6818
84,183.62,992,421,3177,6717,5263,6067,3773,4097,3449,6866
73,184.26,992,421,3270,6719,5263,6116,3803,4097,3449,6896
74,184.26,1007,413,3232,6723,5268,6107,3831,4130,3626,6866
87,182.82,888,547,3279,6743,5177,6045,3725,4040,3496,6869
79,185.44,996,279,3277,6717,5379,6117,3841,4168,3544,6834
57,183.34,952,334,3309,6725,5350,6109,3774,4090,3537,6860
75,175.54,1013,334,3349,6633,5301,6090,3736,4040,3540,6838
70,172.64,1013,334,3310,6633,5256,6090,3734,4040,3540,6838
61,168.76,1013,289,3310,6660,5335,6099,3734,4040,3516,6838
68,171.58,973,488,3289,6633,5214,6099,3734,4040,3516,6890
61,149.3,973,545,3291,6698,5214,6099,3734,4040,3516,6915
79,152.94,999,423,3280,6470,5199,6117,3754,4104,3513,6780
73,152.82,954,423,3320,6695,5232,6117,3804,4131,3522,6829
65,161.74,954,433,3305,6654,5214,6099,3804,4131,3522,6889
57,162.58,982,449,3288,6698,5214,6099,3804,4106,3526,6880
57,144.58,982,449,3291,6710,5214,6093,3804,4106,3526,6860
54,133.2,960,529,3261,6699,5252,6105,3779,4082,3538,6867
62,147.14,999,385,3261,6654,5188,6093,3804,4106,3526,6845
63,147.68,892,455,3288,6729,5214,6084,3800,4123,3529,6880
70,159.7,892,489,3288,6729,5248,6084,3800,4123,3622,6880
79,149.02,959,109,3226,6738,5210,6093,3804,4135,3503,6931
70,151.94,962,571,3319,6698,5382,6095,3804,4135,3503,6880
72,140.2,1028,554,3319,6698,5382,6095,3813,4135,3503,6880
65,151.62,892,472,3288,6729,5267,6088,3747,4081,3502,6938
58,147.12,892,437,3288,6689,5267,6072,3747,4081,3564,6873
57,146.72,892,422,3303,6737,5267,6072,3747,4081,3559,6909
59,154.08,892,422,3303,6737,5267,6105,3747,4081,3509,6916
47,163.02,892,422,3303,6737,5234,6108,3747,4081,3544,6873
79,160.22,892,466,3311,6689,5352,6096,3834,4209,3551,6919
73,154.12,892,466,3311,6689,5352,6096,3834,4145,3502,6919
70,148.54,892,466,3311,6689,5352,6096,3713,4008,3523,6901
72,137.18,892,481,3311,6675,5327,6046,3830,4134,3550,6827
66,149.4,980,466,3288,6669,5419,6096,3713,4082,3524,6919
65,138.26,980,466,3288,6694,5245,6096,3713,4064,3524,6919
60,169.12,905,466,3311,6679,5327,6096,3786,4114,3521,6884
64,167.76,865,438,3311,6676,5364,6046,3755,4065,3547,6818
64,153.8,865,438,3273,6676,5385,6046,3755,4065,3547,6818
90,163.64,917,315,3242,6741,5432,6089,3834,4240,3610,6925
83,165.36,936,376,3344,6703,5371,6120,3793,4135,3587,6925
60,171.04,917,341,3242,6757,5432,6106,3770,4125,3562,6925
55,166.26,976,341,3242,6757,5447,6089,3784,4125,3544,6925
